Planet,Satellite,Code,Ephemeris,Frame,Epoch (TDB),a (km),e,omega (deg),M (deg),i (deg),node (deg),P (days),P_apsis (yr),P_node (yr),RA (deg),Dec (deg),Tilt (deg),Reference
Jupiter,Kallichore,544,JUP344,ecliptic,2000-01-01.5,23021800,0.252,310.1,54.2,164.8,30.3,728.259347,82.013,89.444,,,,2
Jupiter,Helike,545,JUP344,ecliptic,2000-01-01.5,20915700,0.153,118.1,44.2,154.4,91.7,626.325893,128.151,115.019,,,,2
Jupiter,Carpo,546,JUP344,ecliptic,2000-01-01.5,17042300,0.416,86.6,339.8,53.2,54,456.286617,-,112.238,,,,2
Jupiter,Eukelade,547,JUP344,ecliptic,2000-01-01.5,23067400,0.277,283.7,203.6,164.6,192.2,730.301672,79.958,87.844,,,,2
Jupiter,Cyllene,548,JUP344,ecliptic,2000-01-01.5,23654700,0.419,47.8,121.3,146.8,252.6,751.974673,80.253,79.35,,,,2
Jupiter,Kore,549,JUP344,ecliptic,2000-01-01.5,24205200,0.328,229.3,31.8,141.5,314.6,776.763241,108.568,85.006,,,,2
Jupiter,Herse,550,JUP344,ecliptic,2000-01-01.5,23150500,0.262,101.2,141.2,164.4,292.7,734.522343,80.841,88.139,,,,2
Jupiter,S2010_j1,551,JUP344,ecliptic,2000-01-01.5,23189800,0.252,344.2,161.1,164.5,283.1,736.512347,81.202,88.194,,,,2
Jupiter,S2010_j2,552,JUP344,ecliptic,2000-01-01.5,20793000,0.248,15.1,306.3,148.1,3,618.841217,148.128,111.338,,,,2
Jupiter,Dia,553,JUP344,ecliptic,2000-01-01.5,12260300,0.232,176.8,309.6,29,292.3,278.212821,118.591,245.34,,,,2
Jupiter,S2016_j1,554,JUP344,ecliptic,2000-01-01.5,20802600,0.232,197.8,192.4,144.7,231.7,618.491978,172.452,112.96,,,,2
Jupiter,S2003_j18,555,JUP344,ecliptic,2000-01-01.5,20336300,0.09,304.4,66.1,145.3,164.3,598.121316,4.61,135.631,,,,2
Jupiter,S2011_j2,556,JUP344,ecliptic,2000-01-01.5,22909200,0.355,218.7,284,151.9,28.5,718.316562,87.848,87.14,,,,2
Jupiter,Eirene,557,JUP344,ecliptic,2000-01-01.5,23055800,0.258,94.8,329.7,164.6,179.5,729.84767,80.984,88.844,,,,2
Jupiter,Philophrosyne,558,JUP344,ecliptic,2000-01-01.5,22604600,0.229,271.6,69.5,146.3,233.1,702.535939,163.22,101.601,,,,2
Jupiter,S2017_j1,559,JUP344,ecliptic,2000-01-01.5,23744800,0.328,252.2,286.5,145.8,255,756.406342,108.088,86.595,,,,2
Jupiter,Eupheme,560,JUP344,ecliptic,2000-01-01.5,20768600,0.241,316.6,359.1,148,230.6,617.726175,150.073,112.595,,,,2
Jupiter,S2003_j19,561,JUP344,ecliptic,2000-01-01.5,23156400,0.265,123.4,218.4,164.7,26.9,734.778675,81.047,88.182,,,,2
Jupiter,S2016_j2,562,JUP344,ecliptic,2000-01-01.5,18694200,0.217,344.2,57.6,34.5,291.5,527.606246,48.686,136.971,,,,2
Jupiter,S2017_j2,563,JUP344,ecliptic,2000-01-01.5,22953200,0.272,137.5,293.3,164.5,4.1,724.709424,81.295,89.1,,,,2
Jupiter,S2017_j3,564,JUP344,ecliptic,2000-01-01.5,20941000,0.231,92.9,193.3,147.9,23.4,625.601566,145.65,111.667,,,,2
Jupiter,Pandia,565,JUP344,ecliptic,2000-01-01.5,11481000,0.179,194.3,153.9,29,249.1,251.911064,140.848,291.11,,,,2
Jupiter,S2017_j5,566,JUP344,ecliptic,2000-01-01.5,23206200,0.257,211.7,66.9,164.8,44.1,737.284766,81.014,88.443,,,,2
Jupiter,S2017_j6,567,JUP344,ecliptic,2000-01-01.5,23245300,0.336,100,150.2,149.7,318.6,733.993348,94.238,87.113,,,,2
Jupiter,S2017_j7,568,JUP344,ecliptic,2000-01-01.5,20964800,0.233,119.4,359.1,147.3,258.1,626.562241,146.553,111.335,,,,2
Jupiter,S2017_j8,569,JUP344,ecliptic,2000-01-01.5,22849500,0.255,146.9,350.4,164.8,91.6,719.760404,82.331,90.463,,,,2
Jupiter,S2017_j9,570,JUP344,ecliptic,2000-01-01.5,21768700,0.2,130.7,261.5,155.5,240.1,666.110044,110.795,103.984,,,,2
Jupiter,Ersa,571,JUP344,ecliptic,2000-01-01.5,11401000,0.116,304.7,263.4,29.1,116.9,249.228928,144.088,306.234,,,,2
Jupiter,S2011_j1,572,JUP344,ecliptic,2000-01-01.5,23124500,0.271,251.8,248.4,164.6,248.4,733.20626,80.182,87.657,,,,2
Jupiter,S2003_j2,55501,JUP344,ecliptic,2000-01-01.5,20997700,0.225,200.4,35.2,150.2,350.8,628.78946,139.072,110.518,,,,2
Jupiter,S2003_j4,55502,JUP344,ecliptic,2000-01-01.5,22926500,0.328,194.4,242.8,148.2,176.8,718.095543,102.409,89.495,,,,2
Jupiter,S2003_j9,55503,JUP344,ecliptic,2000-01-01.5,23199400,0.263,199.6,354.6,164.8,47.6,736.861154,80.606,88.19,,,,2
Jupiter,S2003_j10,55504,JUP344,ecliptic,2000-01-01.5,23576300,0.264,227.5,286.9,164.4,154.5,755.429041,79.301,85.67,,,,2
Jupiter,S2003_j12,55505,JUP344,ecliptic,2000-01-01.5,20963100,0.235,277.9,201.3,150,58.7,627.243242,133.246,110.154,,,,2
Jupiter,S2003_j16,55506,JUP344,ecliptic,2000-01-01.5,20882600,0.243,24.6,307.4,148,16.1,622.876561,146.583,111.039,,,,2
Jupiter,S2003_j23,55507,JUP344,ecliptic,2000-01-01.5,23829300,0.313,163.2,168.5,144.7,45,760.000608,119.441,88.919,,,,2
Jupiter,S2003_j24,55508,JUP344,ecliptic,2000-01-01.5,22887400,0.259,24.2,131.8,164.5,207.2,721.603536,81.634,89.706,,,,2
